,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
OTU1,0,0,0,0,0,3,10,6,4,3,79,427,38,93,43,2,68,268,30,249,215,447,249,72,632,491,144,321,456,206,378,55,147,141,101,176,155,306,209,80,424,605,395,586,662,644,438,431,357,333
OTU2,0,0,2,0,4,5,24,1131,386,428,48,3,373,599,2,268,18,542,991,799,658,287,426,456,267,67,232,130,243,322,479,212,430,394,574,129,65,201,188,515,153,218,405,248,227,132,493,305,218,368
OTU3,0,0,0,0,0,5,30,0,124,93,54,97,66,112,66,5,41,101,54,165,138,198,64,128,181,222,65,81,195,59,171,118,161,138,89,128,115,115,164,117,166,155,125,186,195,177,93,111,205,118
OTU4,0,0,0,0,0,0,0,41,363,641,45,2,457,338,145,486,71,231,714,152,164,93,135,90,34,28,207,9,62,54,171,137,106,112,426,57,39,42,254,154,88,195,93,53,113,44,321,279,210,267
OTU5,15,1,1330,1989,1491,25,871,171,95,293,61,213,310,70,73,49,1032,102,20,92,3,26,368,246,376,32,201,785,99,6,40,602,875,11,34,258,182,97,617,269,55,199,191,73,14,23,60,45,18,91
OTU6,0,0,0,0,0,1,9,0,0,0,56,88,14,22,0,0,0,1,3,30,26,54,1,2,7,37,56,10,48,42,61,123,37,79,39,51,104,1,48,5,112,21,25,9,63,65,36,65,74,46
OTU7,2,0,2,0,0,0,79,16,279,316,24,28,344,451,164,371,112,385,643,302,445,183,352,310,250,224,281,251,193,236,290,136,154,162,197,81,395,309,331,438,262,274,351,238,345,64,323,307,212,373
OTU8,0,0,0,0,0,0,1,0,0,0,677,42,0,0,0,0,0,0,0,1,7,65,0,2,5,51,21,0,1,543,106,6,62,5,40,3,0,0,0,0,113,43,0,0,1,258,1,6,57,18
OTU9,0,0,0,0,26,2,28,13,88,132,46,276,28,88,42,8,51,158,2,133,138,79,137,46,129,97,55,63,125,77,54,18,58,65,73,23,19,179,100,20,117,97,44,128,133,95,79,95,106,100
OTU10,1,0,43,46,13,0,131,327,26,13,2,0,0,0,0,0,0,0,0,0,1,0,30,236,13,15,14,2,0,1,65,38,74,106,116,19,12,5,11,35,12,53,21,17,25,33,158,209,115,82
OTU11,1,0,0,0,226,24,29,67,77,56,21,7,20,34,49,60,80,49,24,44,54,64,77,44,26,60,57,23,56,82,64,44,25,45,44,43,57,33,51,43,65,50,29,57,108,70,97,73,56,66
OTU12,0,0,0,0,0,14,20,0,0,2,7,98,5,6,8,1,13,35,5,61,42,37,20,15,46,78,36,41,45,38,40,179,86,93,67,73,27,29,68,14,87,34,70,44,56,29,9,41,45,35
OTU13,0,0,0,0,0,27,19,0,0,2,3,69,5,6,0,1,5,22,2,32,23,34,24,8,24,34,22,31,23,24,27,99,50,60,39,49,20,24,41,14,56,26,45,39,41,21,7,31,29,19
OTU14,1371,514,666,565,183,1,1,0,2,0,1,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
OTU15,0,0,0,0,0,6,4,3,21,8,47,51,6,8,7,2,14,46,10,20,49,54,24,22,35,44,61,46,32,29,10,2,12,14,29,6,17,246,4,3,68,56,36,141,42,85,34,36,15,37
OTU16,0,1,0,0,0,4,13,6,21,72,25,136,8,33,62,35,53,100,0,38,69,34,89,40,66,72,54,29,55,38,23,10,31,35,48,27,22,27,30,37,60,76,55,83,101,85,56,80,86,51
OTU17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,43,0,2,62,6,14,18,19,15
OTU18,0,0,0,0,0,38,79,28,4,1,1,0,8,3,1,11,1,0,24,2,4,11,27,0,0,0,1,0,0,0,1,79,2,1,8,4,3,15,6,15,8,19,3,20,4,1,9,4,40,28
OTU19,0,0,0,0,40,7,6,9,68,69,27,7,7,51,53,2,7,25,0,15,81,50,101,57,20,47,3,27,68,6,3,3,10,25,15,4,1,27,12,3,42,15,10,30,24,11,13,36,3,16
OTU20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,9,50,53,14,28,67,93,44,41,117,194,107,56,0,66,3,31,60,0,11,51,52,13,13,149,15
